ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-19,360.4415954407279,314.55040370524125,411.5208084454359,327.5975290795311,397.6100253463655,0.635383479529025,0.635383479529025,0.635383479529025,0.635383479529025,0.635383479529025,0.635383479529025,0.0,0.0,0.0,361.0769789202569
2024-01-20,361.0635600048162,312.2447405820777,409.0577677404072,327.8719341694749,398.5714034112189,-1.2067522644308497,-1.2067522644308497,-1.2067522644308497,-1.2067522644308497,-1.2067522644308497,-1.2067522644308497,0.0,0.0,0.0,359.85680774038536
2024-01-21,361.6855245689047,317.50543308197325,414.962036349493,328.1870965955489,399.5597671111894,-1.2067512208456321,-1.2067512208456321,-1.2067512208456321,-1.2067512208456321,-1.2067512208456321,-1.2067512208456321,0.0,0.0,0.0,360.4787733480591
2024-01-22,362.30748913299306,313.4245907281859,415.8260439399521,328.5022590216228,400.3440184790994,1.9348783296051004,1.9348783296051004,1.9348783296051004,1.9348783296051004,1.9348783296051004,1.9348783296051004,0.0,0.0,0.0,364.24236746259817
2024-01-23,362.9294536970814,314.19241921197556,412.852887490229,328.7344113893323,401.3498060118179,-0.009734027559446325,-0.009734027559446325,-0.009734027559446325,-0.009734027559446325,-0.009734027559446325,-0.009734027559446325,0.0,0.0,0.0,362.91971966952195
2024-01-24,363.5514182611697,318.2574330656381,416.1922085352945,328.82002847241273,402.35559354453636,0.3271941782529724,0.3271941782529724,0.3271941782529724,0.3271941782529724,0.3271941782529724,0.3271941782529724,0.0,0.0,0.0,363.8786124394227
2024-01-25,364.1733828252582,314.94867376562524,411.11196760391147,329.00214535967757,403.3587240402834,-0.4742184745428413,-0.4742184745428413,-0.4742184745428413,-0.4742184745428413,-0.4742184745428413,-0.4742184745428413,0.0,0.0,0.0,363.69916435071536
2024-01-26,364.79534738934655,318.07593074728476,416.1185119474444,329.2218364498771,404.3502508303543,0.6353834795268875,0.6353834795268875,0.6353834795268875,0.6353834795268875,0.6353834795268875,0.6353834795268875,0.0,0.0,0.0,365.4307308688734
2024-01-27,365.4173119534349,317.2285808953022,414.9647383593595,329.44152754007655,405.38217159030916,-1.2067522644302535,-1.2067522644302535,-1.2067522644302535,-1.2067522644302535,-1.2067522644302535,-1.2067522644302535,0.0,0.0,0.0,364.21055968900464
2024-01-28,366.0392765175234,319.609430624707,416.0240700414282,329.6175385435367,406.44272082137934,-1.2067512208399434,-1.2067512208399434,-1.2067512208399434,-1.2067512208399434,-1.2067512208399434,-1.2067512208399434,0.0,0.0,0.0,364.83252529668346
